"VariableName","Value","ValueLabel"
"NCAA/NAIA conference number football (IC2020)","125","Northeast Conference"
"NCAA/NAIA conference number football (IC2020)","359","Northern Athletics Collegiate Conference"
"NCAA/NAIA conference number football (IC2020)","155","Northern Sun Intercollegiate Conference"
"NCAA/NAIA conference number football (IC2020)","205","Northwest Conference"
"NCAA/NAIA conference number football (IC2020)","191","Ohio Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","126","Ohio Valley Conference"
"NCAA/NAIA conference number football (IC2020)","192","Old Dominion Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2020)","128","Patriot League"
"NCAA/NAIA conference number football (IC2020)","158","Pennsylvania State Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","129","Pioneer Football League"
"NCAA/NAIA conference number football (IC2020)","194","Presidents' Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","159","Rocky Mountain Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","340","Sooner Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","160","South Atlantic Conference"
"NCAA/NAIA conference number football (IC2020)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2020)","368","Southern Athletic Association"
"NCAA/NAIA conference number football (IC2020)","197","Southern California Intercollegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","198","Southern Collegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2020)","161","Southern Intercollegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2020)","133","Southwestern Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2020)","171","USA South Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","200","University Athletic Association"
"NCAA/NAIA conference number football (IC2020)","354","Upper Midwest Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","201","Upstate Collegiate Athletic Association"
"NCAA/NAIA conference number football (IC2020)","163","West Virginia Intercollegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","202","Wisconsin Intercollegiate Athletic Conference"
"NCAA/NAIA conference number football (IC2020)","342","Other"
"NCAA/NAIA conference number football (IC2020)","-1","Not reported"
"NCAA/NAIA conference number football (IC2020)","-2","Not applicable"
"Institution size category (HD2020)","1","Under 1,000"
"Institution size category (HD2020)","2","1,000 - 4,999"
"Institution size category (HD2020)","3","5,000 - 9,999"
"Institution size category (HD2020)","4","10,000 - 19,999"
"Institution size category (HD2020)","5","20,000 and above"
"Institution size category (HD2020)","-1","Not reported"
"Institution size category (HD2020)","-2","Not applicable"
